LIU Brooklyn,Wagner,9.0
Sacred Heart,Wagner,0.0
Fairleigh Dickinson,Wagner,9.0
Columbia,St Francis (BKN),8.0
Georgetown,St Francis (BKN),21.0
St Francis (PA),St Francis (BKN),9.0
Central Connecticut,St Francis (BKN),10.5
Bryant,St Francis (BKN),3.0
Robert Morris,St Francis (BKN),0.0
LIU Brooklyn,St Francis (BKN),10.3333333333
Sacred Heart,St Francis (BKN),5.5
Fairleigh Dickinson,St Francis (BKN),12.5
Wagner,St Francis (BKN),16.0
Seton Hall,Mount St Mary's,23.0
St Francis (PA),Mount St Mary's,2.0
Central Connecticut,Mount St Mary's,24.0
Bryant,Mount St Mary's,2.5
Robert Morris,Mount St Mary's,14.5
LIU Brooklyn,Mount St Mary's,12.0
Sacred Heart,Mount St Mary's,0.5
Fairleigh Dickinson,Mount St Mary's,15.5
Wagner,Mount St Mary's,4.0
St Francis (BKN),Mount St Mary's,2.0
Dartmouth,Maine,23.0
Seton Hall,Maine,29.0
Butler,Maine,42.0
LIU Brooklyn,Maine,13.0
Wagner,Maine,1.0
Yale,Albany,4.0
Providence,Albany,4.0
St Francis (PA),Albany,10.0
Maine,Albany,19.6666666667
Kennesaw State,UMBC,13.0
Central Connecticut,UMBC,12.0
Maine,UMBC,12.0
Albany,UMBC,16.0
Columbia,Stony Brook,5.0
Princeton,Stony Brook,13.0
Cincinnati,Stony Brook,26.0
Providence,Stony Brook,18.0
LIU Brooklyn,Stony Brook,19.0
Maine,Stony Brook,35.5
Albany,Stony Brook,5.0
UMBC,Stony Brook,11.0
Dartmouth,UMass Lowell,21.0
Brown,UMass Lowell,9.0
Cornell,UMass Lowell,11.0
Sacred Heart,UMass Lowell,3.0
Maine,UMass Lowell,7.0
Albany,UMass Lowell,11.5
UMBC,UMass Lowell,14.0
Stony Brook,UMass Lowell,17.5
Cornell,Binghamton,14.0
Penn,Binghamton,9.0
Providence,Binghamton,21.0
Mount St Mary's,Binghamton,1.0
Maine,Binghamton,8.0
Albany,Binghamton,15.5
UMBC,Binghamton,9.5
Stony Brook,Binghamton,8.0
UMass Lowell,Binghamton,1.5
Dartmouth,Hartford,5.0
